Dose_Gy,PTV_60Gy,Spinal_Cord,Total_Lungs,Heart,Esophagus
0.0,100.00,100.00,100.00,100.00,100.00
1.0,100.00,96.00,90.40,92.50,96.00
2.0,100.00,92.00,80.80,85.00,92.00
3.0,100.00,88.00,71.20,77.50,88.00
4.0,100.00,84.00,61.60,70.00,84.00
5.0,100.00,80.00,52.00,62.50,80.00
6.0,100.00,76.00,50.00,55.00,76.00
7.0,100.00,72.00,48.00,47.50,72.00
8.0,100.00,68.00,46.00,40.00,68.00
9.0,100.00,64.00,44.00,32.50,64.00
10.0,100.00,60.00,42.00,25.00,60.00
11.0,100.00,57.00,40.00,23.75,56.00
12.0,100.00,54.00,38.00,22.50,52.00
13.0,100.00,51.00,36.00,21.25,48.00
14.0,100.00,48.00,34.00,20.00,44.00
15.0,100.00,45.00,32.00,18.75,40.00
16.0,100.00,42.00,30.00,17.50,38.75
17.0,100.00,39.00,28.00,16.25,37.50
18.0,100.00,36.00,26.00,15.00,36.25
19.0,100.00,33.00,24.00,13.75,35.00
20.0,100.00,30.00,22.00,12.50,33.75
21.0,100.00,27.00,21.45,11.25,32.50
22.0,100.00,24.00,20.90,10.00,31.25
23.0,100.00,21.00,20.35,8.75,30.00
24.0,100.00,18.00,19.80,7.50,28.75
25.0,100.00,15.00,19.25,6.25,27.50
26.0,100.00,13.85,18.70,6.00,26.25
27.0,100.00,12.70,18.15,5.75,25.00
28.0,100.00,11.55,17.60,5.50,23.75
29.0,100.00,10.40,17.05,5.25,22.50
30.0,100.00,9.25,16.50,5.00,21.25
31.0,100.00,8.10,15.95,4.75,20.00
32.0,100.00,6.95,15.40,4.50,18.75
33.0,100.00,5.80,14.85,4.25,17.50
34.0,100.00,4.65,14.30,4.00,16.25
35.0,100.00,3.50,13.75,3.75,15.00
36.0,100.00,2.35,13.20,3.50,14.40
37.0,100.00,1.20,12.65,3.25,13.80
38.0,100.00,0.05,12.10,3.00,13.20
39.0,100.00,0.00,11.55,2.75,12.60
40.0,100.00,0.00,11.00,2.50,12.00
41.0,100.00,0.00,10.45,2.25,11.40
42.0,100.00,0.00,9.90,2.00,10.80
43.0,100.00,0.00,9.35,1.75,10.20
44.0,100.00,0.00,8.80,1.50,9.60
45.0,100.00,0.00,8.25,1.25,9.00
46.0,100.00,0.00,7.70,1.00,8.40
47.0,100.00,0.00,7.15,0.75,7.80
48.0,100.00,0.00,6.60,0.50,7.20
49.0,100.00,0.00,6.05,0.25,6.60
50.0,100.00,0.00,5.50,0.00,6.00
51.0,100.00,0.00,4.95,0.00,5.40
52.0,100.00,0.00,4.40,0.00,4.80
53.0,100.00,0.00,3.85,0.00,4.20
54.0,100.00,0.00,3.30,0.00,3.60
55.0,100.00,0.00,2.75,0.00,3.00
56.0,100.00,0.00,2.20,0.00,2.40
57.0,100.00,0.00,1.65,0.00,1.80
58.0,100.00,0.00,1.10,0.00,1.20
59.0,97.50,0.00,0.55,0.00,0.60
60.0,95.00,0.00,0.00,0.00,0.00
61.0,65.00,0.00,0.00,0.00,0.00
62.0,35.00,0.00,0.00,0.00,0.00
63.0,5.00,0.00,0.00,0.00,0.00
64.0,0.00,0.00,0.00,0.00,0.00
65.0,0.00,0.00,0.00,0.00,0.00
66.0,0.00,0.00,0.00,0.00,0.00
67.0,0.00,0.00,0.00,0.00,0.00
68.0,0.00,0.00,0.00,0.00,0.00
69.0,0.00,0.00,0.00,0.00,0.00
70.0,0.00,0.00,0.00,0.00,0.00
